780,20,125,20
779.04,40,124.83,40
778.07,60,124.66,60
777.11,80,124.49,80
776.14,100,124.33,100
775.18,120,124.16,120
774.22,140,123.99,140
773.25,160,123.82,160
772.29,180,123.65,180
771.33,200,123.48,200
770.36,220,123.31,220
769.4,240,123.14,240
768.43,260,122.98,260
767.47,280,122.81,280
766.51,300,122.64,300
765.54,320,122.47,320
764.58,340,122.3,340
763.61,360,122.13,360
762.65,380,121.96,380
761.69,400,121.8,400
760.72,420,121.63,420
759.76,440,121.46,440
758.8,460,121.29,460
757.83,480,121.12,480
756.87,500,120.95,500
755.9,520,120.78,520
754.94,540,120.61,540
753.98,560,120.45,560
753.01,580,120.28,580
752.05,600,120.11,600
751.08,620,119.94,620
750.12,640,119.77,640
749.16,660,119.6,660
748.19,680,119.43,680
747.23,700,119.27,700
746.27,720,119.1,720
745.3,740,118.93,740
744.34,760,118.76,760
743.37,780,118.59,780
742.41,800,118.42,800
741.45,820,118.25,820
740.48,840,118.08,840
739.52,860,117.92,860
738.55,880,117.75,880
737.59,900,117.58,900
736.63,920,117.41,920
735.66,940,117.24,940
734.7,960,117.07,960
733.73,980,116.9,980
732.77,1000,116.73,1000
731.81,1020,116.57,1020
730.84,1040,116.4,1040
729.88,1060,116.23,1060
728.92,1080,116.06,1080
727.95,1100,115.89,1100
726.99,1120,115.72,1120
726.02,1140,115.55,1140
725.06,1160,115.39,1160
724.1,1180,115.22,1180
723.13,1200,115.05,1200
722.17,1220,114.88,1220
721.2,1240,114.71,1240
720.24,1260,114.54,1260
719.28,1280,114.37,1280
718.31,1300,114.2,1300
717.35,1320,114.04,1320
716.39,1340,113.87,1340
715.42,1360,113.7,1360
714.46,1380,113.53,1380
713.49,1400,113.36,1400
712.53,1420,113.19,1420
711.57,1440,113.02,1440
710.6,1460,112.86,1460
709.64,1480,112.69,1480
708.67,1500,112.52,1500
707.71,1520,112.35,1520
706.75,1540,112.18,1540
705.78,1560,112.01,1560
704.82,1580,111.84,1580
703.86,1600,111.67,1600
702.89,1620,111.51,1620
701.93,1640,111.34,1640
700.96,1660,111.17,1660
700,1680,111,1680
